,Username,ChampionToPredict,TierRankName,TierRank,LadderRank,TopChamp_S2022,TopChamp_Last20,AvgK_Last20,AvgD_Last20,AvgA_Last20,PrefPosition_Last20,LastPlayedChamp,LastPlayedResult
3504,leeja69,Graves,silver 2,11,"592,284",Lux,Lux,5.8,5.1,7.9,Support,Zed,0
3505,igotdaddyissues,Blitzcrank,silver 2,11,"592,237",Diana,Diana,5.6,6.8,6.6,Jungle,Yasuo,0
3506,lokokpd,Sivir,silver 2,11,"592,265",Vayne,Vayne,5.1,5.7,7.1,Bottom,Ashe,1
3507,Reytaker,Ahri,silver 2,11,"592,229",Jinx,Vayne,4.4,6.4,7.1,Bottom,Diana,0
3508,JP Doinb,Ekko,platinum 4,17,"132,568",Kindred,Ekko,8.6,5.2,7.4,Jungle,Ekko,1
3509,KlngDr3aD,Vi,platinum 4,17,"132,533",Elise,Evelynn,6.1,5.6,7.5,Jungle,Kindred,0
3510,Emperial,Nasus,platinum 4,17,"132,534",Malphite,Malphite,3.3,6.1,8.3,Top,Malphite,0
3511,sskssksskssk,Malphite,platinum 4,17,"132,514",Sion,Trundle,7.8,7.8,6.1,Top,Talon,0
3512,buxiang play,Ahri,platinum 4,17,"132,524",Lissandra,Tahm Kench,6.3,5.6,8.3,Top,Lucian,1
3513,xGfRaymond,Alistar,platinum 4,17,"132,544",Nautilus,Nautilus,1.6,6.0,13.0,Support,Nautilus,0
3514,langbao,Wukong,platinum 4,17,"132,567",Graves,Twitch,10.0,7.9,5.0,Top,Aatrox,1
3515,matstar2,Rengar,platinum 4,17,"132,547",Kai'Sa,Ryze,3.4,6.7,7.4,Middle,Graves,1
3516,youlegeyou,Teemo,platinum 4,17,"132,570",Lux,Ivern,7.4,9.1,20.4,Support,Xerath,0
3517,phuong ly fanboy,Tryndamere,platinum 4,17,"132,596",Jayce,Graves,6.4,6.2,7.3,Jungle,Gangplank,0
3518,TSM Sploodge Gun,Lulu,silver 2,11,"562,736",Lulu,Lulu,5.1,3.6,11.1,Support,Sona,0
3519,Juiceboxmidget,Veigar,silver 2,11,"562,752",Veigar,Veigar,8.2,8.4,12.9,Middle,Lux,1
3520,eBoy with Lemon,Thresh,silver 2,11,"562,792",Thresh,Thresh,3.7,6.4,15.3,Support,Soraka,0
3521,ShinBreakMan,Graves,silver 2,11,"562,731",Sivir,Vayne,4.7,5.2,5.3,Bottom,Vayne,0
3522,ADHDowiec,Gangplank,silver 2,11,"562,765",Graves,Graves,7.7,7.2,5.7,Top,Gangplank,0
3523,Dashelaigerd,Yone,silver 2,11,"562,789",Yone,Yone,9.1,4.7,5.3,Middle,Yone,0
3524,Trishoryuken,Master Yi,silver 2,11,"562,702",Veigar,Vayne,6.1,8.5,8.8,Bottom,Zac,0
3525,AnTiCuRe17,Master Yi,silver 2,11,"562,759",Nunu & Willump,Nunu & Willump,6.6,5.7,9.8,Jungle,Nunu & Willump,1
3526,seedjau,Caitlyn,silver 2,11,"562,747",Lux,Malphite,7.5,4.5,7.9,Middle,Caitlyn,1
3527,FoxMikeLima,Orianna,silver 2,11,"562,760",Talon,Brand,7.9,6.0,7.6,Middle,Diana,1
3528,BuckCoe,Hecarim,silver 2,11,"550,722",Camille,Lillia,7.5,6.4,7.9,Jungle,Lillia,0
3529,Lewd Neeko,Neeko,silver 2,11,"550,768",Lulu,Neeko,4.3,8.3,9.0,Middle,Neeko,0
3530,Linus World Tour,Blitzcrank,silver 2,11,"550,769",Katarina,Twitch,7.9,7.0,6.8,Bottom,Twitch,0
3531,PRESS R 4 SHARK,Fizz,silver 2,11,"550,724",Fizz,Fizz,7.2,7.2,7.2,Middle,Fizz,0
3532,Clever Creature,Kai'Sa,silver 2,11,"550,766",Teemo,LeBlanc,11.1,10.7,12.3,Jungle,Anivia,0
3533,ACTIVATEWIND0WS,Caitlyn,silver 2,11,"550,711",Nasus,Nasus,5.6,4.8,4.7,Top,Malphite,0
3534,MulviMayhem,Gnar,silver 2,11,"550,760",Yorick,Alistar,4.1,5.5,11.7,Support,Alistar,1
3535,Not Yamikaze,Sett,silver 2,11,"550,785",Trundle,Sett,6.2,5.6,4.4,Top,Udyr,1
3536,FixedWasp11,Jinx,silver 2,11,"550,732",Twitch,Jinx,6.2,3.2,5.5,Bottom,Kalista,0
3537,geqvvbqsa,Malphite,silver 2,11,"550,732",Vayne,Malphite,11.0,7.5,7.0,Top,Fizz,0
3538,FeedsNLeavesDeez,Pyke,bronze 2,7,"1,029,187",Viktor,Viktor,5.4,4.6,5.3,Middle,Fizz,0
3539,GI Jane Joke,Brand,bronze 2,7,"1,029,116",Jinx,Jhin,7.1,6.0,5.1,Bottom,Brand,0
3540,FemboyWater,Cho'Gath,bronze 2,7,"1,029,145",Swain,Swain,5.6,7.3,9.8,Support,Pyke,0
3541,im da pappy,Yasuo,bronze 2,7,"1,029,169",Ekko,Ekko,7.6,7.7,7.1,Middle,Shaco,1
3542,Jerbear094,Lux,bronze 2,7,"1,029,198",Trundle,Morgana,4.3,7.6,13.0,Support,Soraka,0
3543,ThyCrimsongod ,Miss Fortune,bronze 2,7,"1,029,120",Sett,Brand,7.8,7.1,12.2,Support,Urgot,1
3544,Thic Step Father,Morgana,bronze 2,7,"1,029,144",Qiyana,Morgana,1.5,6.5,12.0,Support,Dr. Mundo,1
3545,P0ttAto,Mordekaiser,bronze 2,7,"1,029,136",Sett,Mordekaiser,6.9,6.2,4.1,Top,Mordekaiser,0
3546,0xHideOnBushx0,Diana,bronze 4,5,"1,215,044",Diana,Zed,11.2,8.6,7.6,Middle,Diana,1
3547,RuinKng,Tryndamere,bronze 4,5,"1,215,051",Volibear,Volibear,6.7,6.2,5.6,Jungle,Volibear,1
3548,CheeseMayonase,Kennen,bronze 4,5,"1,215,030",Renekton,Shen,4.7,8.7,8.1,Top,Shen,0
3549,Pink N Fabulous,Master Yi,bronze 4,5,"1,215,082",Master Yi,Evelynn,7.4,6.0,5.4,Jungle,Evelynn,0
3550,CleanSkiesTech,Wukong,gold 2,15,"191,566",Wukong,Wukong,8.7,5.5,10.5,Jungle,Wukong,1
3551,samsonite123,Urgot,gold 2,15,"191,527",Urgot,Urgot,4.7,6.4,3.8,Top,Urgot,1
3552,Shen Saved 2Pac,Shen,gold 2,15,"191,514",Shen,Shen,3.0,3.3,9.7,Top,Shen,0
3553,WashedUpTopLaner,Viktor,gold 2,15,"191,570",Nasus,Fiora,5.4,6.7,5.0,Top,Caitlyn,1
3554,mickill,Urgot,gold 2,15,"191,568",Shen,Shen,9.4,7.6,16.0,Top,Shen,1
3555,Zoned Out,Jarvan IV,gold 2,15,"191,503",Rakan,Rakan,4.0,6.4,11.1,Jungle,Maokai,0
3556,Traq 5008,Miss Fortune,gold 2,15,"191,577",Xayah,Xayah,6.2,8.6,6.9,Bottom,Kha'Zix,1
3557,Caspoza,Volibear,gold 2,15,"191,580",Nunu & Willump,Volibear,8.0,5.7,13.7,Jungle,Anivia,0
3558,Feizhou Dog,Sett,gold 4,13,"296,762",Aatrox,Malphite,10.4,6.8,6.9,Top,Fiora,1
3559,Grocc,Twitch,gold 4,13,"296,734",Karma,Karma,5.9,7.2,16.7,Support,Thresh,0
3560,Gussy Boi,Aphelios,gold 4,13,"296,732",Vayne,Aphelios,6.2,5.3,8.5,Bottom,Aphelios,1
3561,I Icy I,Kennen,gold 4,13,"296,796",Kennen,Kennen,5.7,5.5,8.8,Middle,Kennen,1
3562,CallMeTony,Orianna,gold 4,13,"296,735",Annie,Orianna,3.9,5.0,9.5,Middle,Malphite,1
3563,ChromePixel,Sion,gold 4,13,"296,779",Bard,Bard,6.8,9.1,15.9,Support,Pyke,1
3564,Entourloupette,Jhin,gold 4,13,"296,720",Xerath,Kayle,5.8,8.0,9.1,Top,Olaf,1
3565,Riinis,Kai'Sa,gold 4,13,"296,760",Nami,Nami,7.4,7.0,24.1,Support,Rakan,1
3566,S4NJ0S8,Lucian,gold 4,13,"296,798",Samira,Jinx,8.0,6.9,11.0,Bottom,Katarina,0
3567,guineapig4321,Singed,gold 2,15,"200,348",Yorick,Singed,7.0,5.4,10.0,Top,Singed,1
3568,hi im piggy,Alistar,gold 2,15,"200,333",Renata Glasc,Renata Glasc,4.3,6.3,13.3,Support,Renata Glasc,0
3569,deathseeker49,Aphelios,gold 2,15,"200,384",Jinx,Xayah,6.2,7.3,7.0,Bottom,Jinx,0
3570,EmotlonaI Damage,Kai'Sa,gold 2,15,"200,350",Syndra,Ahri,5.5,4.9,10.9,Middle,Soraka,0
3571,Lozt Zumm0n3r,Yone,gold 2,15,"200,311",Katarina,Irelia,5.9,7.8,4.8,Top,Katarina,0
3572,Ziveille,Kalista,gold 2,15,"200,332",Azir,Sion,7.7,8.6,17.1,Top,Zoe,0
3573,Club Karma,Draven,gold 2,15,"200,314",Draven,Draven,4.4,5.0,4.9,Bottom,Draven,0
3574,Nahvii,Ivern,gold 2,15,"200,359",Ahri,Zed,14.4,9.1,20.3,Middle,Anivia,0
3575,nobody2421,Mordekaiser,gold 3,14,"288,426",Rengar,Camille,7.1,7.6,4.3,Top,Mordekaiser,-1
3576,Bradsys,Xayah,gold 3,14,"288,480",Zeri,Xayah,4.9,7.1,9.6,Bottom,Xayah,0
3577,Black Lotiss,Olaf,gold 3,14,"288,487",Ahri,Dr. Mundo,6.4,6.4,13.6,Top,Pantheon,0
3578,bobyjunior,Tahm Kench,gold 3,14,"288,414",Morgana,Riven,9.5,6.6,6.1,Jungle,Aphelios,0
3579,purplethunder77,Twisted Fate,gold 3,14,"288,413",Garen,Cho'Gath,8.0,8.2,7.2,Top,Cho'Gath,1
3580,Gud,Shyvana,gold 3,14,"288,472",Brand,Shyvana,8.6,6.1,9.6,Jungle,Xin Zhao,1
3581,Galzer,Volibear,gold 3,14,"288,450",Kha'Zix,Volibear,7.7,6.6,16.3,Jungle,Volibear,1
3582,Shurtugal24,Akali,gold 3,14,"288,485",Xerath,Xerath,7.5,4.4,8.2,Middle,Xerath,1
3583,Usually Blue,Evelynn,gold 3,14,"288,495",Evelynn,Evelynn,7.8,7.5,14.8,Jungle,Evelynn,1
3584,zakifien,Senna,silver 4,9,"843,608",Viego,Darius,6.6,6.3,7.5,Jungle,Trundle,0
3585,ronkiscool,Jinx,silver 4,9,"843,667",Nunu & Willump,Veigar,6.9,4.4,6.8,Bottom,Zac,0
3586,CripzBambu,Kindred,silver 4,9,"843,679",Kayn,Kayn,5.4,5.7,7.8,Jungle,Kayn,0
3587,Pisebriann,Rengar,silver 4,9,"843,618",Kai'Sa,Volibear,5.5,6.7,6.3,Jungle,Lucian,1
3588,ForgottenMimikyu,Nasus,silver 4,9,"827,964",Swain,Swain,4.3,9.1,10.9,Support,Nunu & Willump,0
3589,fuking go,Tryndamere,silver 4,9,"827,970",Warwick,Tryndamere,4.7,5.2,6.1,Jungle,Tryndamere,1
3590,HeatherlYdOz,Kha'Zix,silver 4,9,"827,920",Fizz,LeBlanc,5.8,8.6,7.3,Middle,Kha'Zix,0
3591,SR harley Quinn,Vel'Koz,silver 4,9,"827,955",Vel'Koz,Vel'Koz,3.0,4.7,10.1,Support,Nami,0
3592,3LAU,Viktor,silver 4,9,"827,940",Gangplank,Zac,8.5,5.9,10.7,Jungle,Gangplank,1
3593,yasuoso,Yasuo,silver 4,9,"827,980",Yasuo,Yasuo,6.3,4.6,4.9,Middle,Kennen,0
3594,Sapoud69,Akali,bronze 2,7,"1,007,493",Vayne,Rammus,4.2,4.7,6.8,Jungle,Tryndamere,1
3595,Chise Moon,Ahri,bronze 2,7,"1,007,438",Ahri,Ahri,6.7,6.7,9.5,Middle,Ahri,1
3596,Safro Gt,Volibear,bronze 2,7,"1,007,464",Nocturne,Rammus,7.7,6.7,6.4,Jungle,Master Yi,0
3597,KawaiiIsBored,Kog'Maw,bronze 2,7,"1,007,470",Draven,Twitch,9.6,8.4,8.3,Support,Hecarim,0
3598,PapaWilly73,Ashe,bronze 2,7,"1,007,492",Caitlyn,Soraka,2.1,5.5,7.6,Support,Yasuo,0
3599,TheXEgo,Aphelios,bronze 2,7,"1,007,447",Annie,Vex,6.4,6.3,5.7,Middle,Galio,0
3600,SkylineZero v4,Vi,bronze 2,7,"1,007,458",Vi,Vi,7.1,8.2,7.6,Jungle,Diana,0
3601,uwu liano,Yasuo,bronze 2,7,"1,007,503",Ekko,Yasuo,6.4,6.5,7.2,Middle,Irelia,0
3602,santaCLOS23,Yone,bronze 2,7,"1,007,414",Draven,Draven,7.2,5.0,4.7,Top,Aatrox,0
3603,ForChezChezits,Senna,bronze 4,5,"1,216,647",Nami,Senna,2.9,5.6,8.4,Support,Sivir,1
3604,AntPoizon,Lux,bronze 4,5,"1,216,702",Nautilus,Lux,4.0,7.5,10.8,Support,Lux,0
3605,A VeryAngyPickle,Nunu & Willump,bronze 4,5,"1,216,703",Sett,Jinx,6.7,7.6,7.0,Jungle,Rengar,1
3606,SOOMBI,Vex,bronze 4,5,"1,216,654",Senna,Vex,5.3,5.4,7.3,Middle,Vex,0
3607,Liannajosyan,Ekko,bronze 4,5,"1,216,617",Yone,Yone,7.0,6.4,3.2,Jungle,Graves,0
3608,Nexonnn,Akshan,bronze 4,5,"1,216,633",Malzahar,Akshan,7.9,8.4,7.4,Middle,Akshan,0
3609,Suprezi,Riven,bronze 4,5,"1,216,653",Qiyana,Lillia,6.2,7.3,6.0,Top,Riven,1
3610,Rickey Popo,Akshan,gold 3,14,"252,881",Veigar,Veigar,9.1,9.5,15.8,Bottom,Yasuo,0
3611,Granny Predator2,Kha'Zix,gold 3,14,"252,897",Kha'Zix,Kha'Zix,6.7,6.7,8.5,Jungle,Kha'Zix,1
3612,B32,Diana,gold 3,14,"252,871",Sejuani,Jax,8.1,5.3,6.6,Bottom,Singed,1
3613,LostSmells,Miss Fortune,gold 3,14,"252,864",Ezreal,Miss Fortune,10.2,6.7,7.5,Bottom,Miss Fortune,1
3614,Call me Sik,Jinx,gold 3,14,"252,845",Samira,Samira,9.5,6.5,9.0,Bottom,Jinx,1
3615,Annchirisu,Yone,gold 3,14,"252,834",Yone,Garen,4.9,7.4,4.7,Top,Yasuo,1
3616,PPOKSIK,Zed,gold 3,14,"252,813",Jinx,Jinx,8.7,7.1,15.6,Bottom,Lucian,1
3617,Sillybananas,Pyke,gold 3,14,"252,874",Renata Glasc,Renata Glasc,2.2,7.6,13.8,Support,Teemo,1
3618,YassuosComeSlave,Zed,gold 4,13,"415,549",Rengar,Akali,5.5,4.0,2.5,Top,Akali,0
3619,ºZedMinatorº,Kalista,gold 4,13,"415,560",Lissandra,Zed,10.7,8.5,14.5,Middle,Ryze,0
3620,stooing,Zeri,gold 4,13,"415,596",Gangplank,Gangplank,11.1,6.6,7.3,Bottom,Zeri,1
3621,Real Fujin,Yasuo,gold 4,13,"415,577",Yasuo,Yasuo,8.8,5.6,5.9,Middle,Yasuo,1
3622,macacodepauduro,Kayn,gold 4,13,"415,503",Akshan,Kha'Zix,8.7,4.6,8.6,Jungle,Rammus,0
3623,LordSoma,Yasuo,gold 4,13,"415,556",Yasuo,Yasuo,6.0,8.1,6.1,Middle,Riven,0
3624,JackBrldger,Rumble,gold 4,13,"415,545",Senna,Ezreal,7.3,6.4,13.5,Bottom,Vel'Koz,1
3625,Thrift Herald,Blitzcrank,gold 4,13,"415,575",Zyra,Senna,3.6,7.3,9.1,Support,Braum,0
3626,Xi Jinpeen,Yasuo,gold 4,13,"415,525",Ahri,Yasuo,10.4,8.0,11.4,Middle,Gangplank,1
3627,Fity,Rengar,gold 4,13,"307,084",Teemo,Soraka,2.4,3.2,13.7,Support,Yorick,1
3628,Rödel,Ashe,gold 4,13,"307,080",Thresh,Thresh,5.3,6.0,15.7,Support,Lux,0
3629,Ti Flicker,Vel'Koz,gold 4,13,"307,021",Thresh,Vayne,7.6,6.3,14.2,Bottom,Lee Sin,0
3630,OptiumWrath,Nautilus,gold 4,13,"307,049",Volibear,Nautilus,7.1,8.2,18.4,Support,Senna,0
3631,Shoony,Malzahar,gold 4,13,"307,038",Yorick,Ivern,4.2,5.0,10.3,Top,Miss Fortune,1
3632,Usanna,Lux,gold 4,13,"307,004",Zed,Kai'Sa,10.6,7.0,9.8,Bottom,Kai'Sa,1
3633,The Díff,Garen,gold 4,13,"307,070",Garen,Master Yi,8.2,6.9,5.4,Jungle,Warwick,1
3634,Katty,Kayn,gold 4,13,"307,086",Kha'Zix,Zed,9.2,6.5,7.6,Jungle,Zed,1
3635,Studge,Lux,gold 4,13,"307,098",Tryndamere,Tryndamere,6.1,6.3,7.9,Top,Garen,0
3636,Domenick,Fizz,gold 4,13,"307,002",Fizz,Fizz,9.6,5.9,6.8,Middle,Fizz,0
3637,Ntuition,Shen,bronze 3,6,"1,099,914",Nami,LeBlanc,4.5,7.6,11.9,Middle,Aatrox,0
3638,zazabeat3000,Kai'Sa,bronze 3,6,"1,099,981",Diana,Kai'Sa,8.8,6.2,6.8,Jungle,Varus,0
3639,AerialTorque,Dr. Mundo,bronze 3,6,"1,099,981",Dr. Mundo,Dr. Mundo,4.6,5.4,8.3,Top,Dr. Mundo,0
3640,ShockwaveXX,Shyvana,bronze 3,6,"1,099,912",Warwick,Viego,3.9,7.6,5.9,Jungle,Shyvana,1
3641,Sh0ftim,Nunu & Willump,bronze 3,6,"1,099,990",Zyra,Nunu & Willump,3.7,8.9,9.9,Support,Zac,0
3642,jg diff ƒƒ at 15,Caitlyn,silver 3,10,"694,781",Lucian,Caitlyn,6.1,5.2,8.3,Top,Draven,0
3643,Jstith,Sion,silver 3,10,"694,735",Nautilus,Lee Sin,5.8,5.1,8.7,Support,Malphite,1
3644,slayer15145,Sion,silver 3,10,"694,715",Sion,Heimerdinger,6.3,6.8,6.1,Top,Akshan,0
3645,ctrl alt ult ,Tahm Kench,silver 3,10,"694,722",Veigar,Kai'Sa,5.8,7.2,9.9,Middle,Veigar,0
3646,fornicatorrr,Jinx,silver 3,10,"694,728",Miss Fortune,Miss Fortune,5.3,8.8,10.2,Bottom,Jhin,0
3647,rek1aw,Fizz,silver 3,10,"694,714",Fizz,Fizz,6.6,5.7,5.9,Middle,Fizz,1
3648,santinico26,Jinx,silver 3,10,"694,738",Jinx,Caitlyn,10.0,6.9,8.8,Bottom,Senna,1
3649,inquester,Hecarim,silver 3,10,"694,752",Ezreal,Hecarim,8.0,5.1,3.1,Jungle,Zed,1
3650,Tonba,Lillia,silver 1,12,"501,371",Fiddlesticks,Fiddlesticks,7.1,5.0,10.5,Jungle,Xin Zhao,1
3651,Lison Achiever,Kai'Sa,silver 1,12,"501,348",Mordekaiser,Mordekaiser,6.7,5.3,4.3,Top,Kai'Sa,1
3652,Waseeem,Garen,silver 1,12,"501,332",Jinx,Tryndamere,6.8,8.5,4.9,Top,Tryndamere,0
3653,EzMentalBoom,Blitzcrank,silver 1,12,"501,331",Yuumi,Yuumi,2.3,6.4,13.4,Support,Yasuo,1
3654,THED3ATHBRING3R,Tryndamere,silver 1,12,"501,374",Zed,Zed,9.1,7.1,5.4,Middle,Tryndamere,1
3655,HammerHammer,Draven,silver 1,12,"501,333",Poppy,Poppy,8.4,6.7,10.4,Jungle,Poppy,0
3656,deeznutshagottem,Vayne,silver 1,12,"501,373",Veigar,Master Yi,7.2,8.4,14.4,Middle,Ezreal,0
3657,The Salt,Leona,bronze 3,6,"1,090,458",Nasus,Leona,5.8,8.9,10.1,Top,Master Yi,0
3658,Duck of Death,Maokai,bronze 3,6,"1,090,473",Trundle,Malphite,4.0,8.0,10.9,Top,Amumu,0
3659,Zenzte,Akshan,bronze 1,8,"930,634",Viego,Sion,8.9,9.1,5.6,Top,Viego,0
3660,jaysanq,Rakan,bronze 1,8,"930,604",Leona,Rakan,2.0,6.6,12.9,Support,Senna,0
3661,thegingersale,Blitzcrank,bronze 1,8,"930,648",Thresh,Thresh,2.8,5.4,14.8,Support,Thresh,1
3662,KillaXFunk,Graves,bronze 1,8,"930,662",Ekko,Ekko,6.8,5.7,8.2,Jungle,Wukong,1
3663,Asesino Verde,Varus,bronze 1,8,"930,682",Pyke,Varus,6.7,4.9,9.5,Bottom,Varus,1
3664,ItzHDGaming,Singed,silver 1,12,"464,933",Senna,Pyke,7.3,7.2,6.6,Support,Nasus,1
3665,deadm22,Kog'Maw,silver 1,12,"464,904",Jhin,Kog'Maw,8.1,4.9,6.7,Bottom,Pantheon,1
3666,Perpetually P,Hecarim,silver 1,12,"464,991",Janna,Hecarim,2.2,5.5,6.0,Jungle,Nami,1
3667,Mojang,Irelia,silver 1,12,"464,972",Lucian,Corki,3.7,5.7,2.0,Middle,Corki,1
3668,canthinkofname,Vex,silver 1,12,"464,915",Yasuo,Vex,11.5,7.1,10.6,Middle,Sett,1
3669,2wenty2wenty,Yasuo,silver 1,12,"464,926",Yasuo,Yasuo,9.6,5.7,6.4,Middle,Yasuo,1
3670,Indikanen,Miss Fortune,bronze 2,7,"1,084,360",Miss Fortune,Miss Fortune,10.4,9.6,6.0,Bottom,Miss Fortune,0
3671,lexisann,Renekton,bronze 2,7,"1,084,380",Diana,Diana,3.6,7.2,9.5,Middle,Diana,1
3672,smurfboob69,Kayn,bronze 2,7,"1,084,402",Graves,Hecarim,6.8,7.9,6.5,Jungle,Irelia,1
3673,BeauWallis,Lux,bronze 2,7,"1,084,311",Zyra,Zyra,7.8,6.4,5.9,Middle,Samira,1
3674,ıIIIı,Xin Zhao,bronze 2,7,"1,084,314",Yasuo,Yasuo,10.3,5.9,5.4,Middle,Ziggs,0
3675,YesBigE,Xerath,bronze 2,7,"1,084,347",Diana,Viego,7.5,7.2,7.3,Support,Xerath,0
3676,X adc main X,Twitch,silver 4,9,"830,426",Twitch,Teemo,6.6,9.6,13.0,Bottom,Kayle,0
3677,Eithronhir,Anivia,silver 4,9,"830,419",Zac,Diana,7.6,6.7,9.1,Jungle,Anivia,1
3678,Sanaeil,Akali,silver 4,9,"830,443",Volibear,Cassiopeia,9.0,9.8,17.0,Top,Cassiopeia,1
3679,HarambeIsMyWaifu,LeBlanc,silver 4,9,"830,440",Yorick,Blitzcrank,5.3,8.7,9.5,Top,Pantheon,0
3680,SamSteeze,Quinn,silver 4,9,"830,497",Miss Fortune,Miss Fortune,8.7,7.3,9.3,Bottom,Akali,1
3681,MirepoixManiac,Xerath,silver 4,9,"830,457",Pyke,Xerath,7.7,6.9,9.8,Middle,Nocturne,1
3682,inz0,Thresh,silver 4,9,"830,440",Akali,Twitch,6.7,5.3,5.9,Bottom,Sejuani,0
3683,R3dSh4d0w,Jax,silver 4,9,"830,428",Caitlyn,Caitlyn,5.7,6.2,8.0,Top,Senna,0
3684,ILL NASTY,Varus,silver 1,12,"443,427",Sivir,Varus,6.3,5.2,7.8,Bottom,Varus,1
3685,For Sure My Man,Ashe,silver 1,12,"443,479",Karma,Nautilus,5.4,6.6,12.4,Bottom,Lucian,0
3686,BaZacre,Nocturne,silver 1,12,"443,455",Warwick,Nocturne,7.7,6.4,12.5,Jungle,Malphite,1
3687,Kunal,Lux,silver 1,12,"443,493",Lux,Lux,4.5,5.8,11.6,Support,Brand,0
3688,Triskadecaphobia,Jhin,silver 1,12,"443,482",Jhin,Jhin,7.4,5.2,9.9,Bottom,Ezreal,1
3689,Sòn,Blitzcrank,silver 1,12,"443,431",Soraka,Blitzcrank,2.0,6.3,12.0,Support,Blitzcrank,0
3690,Girisado,Yone,platinum 3,18,"61,012",Yasuo,Yasuo,7.3,8.5,8.1,Middle,Pyke,1
3691,To My Grave,Anivia,platinum 3,18,"61,047",Sylas,Yasuo,11.9,7.6,10.5,Middle,Yasuo,0
3692,ThatDrunkSupport,Nautilus,platinum 3,18,"61,046",Senna,Senna,2.5,5.5,14.9,Support,Nautilus,1
3693,TRASH GANG,Kayn,platinum 3,18,"61,017",Kayn,Kayn,8.8,5.8,8.5,Jungle,Kayn,0
3694,WONKlKANG,Sejuani,platinum 3,18,"61,044",Lee Sin,Sejuani,8.7,6.3,10.2,Top,Sejuani,1
3695,solreyes,Lulu,platinum 3,18,"61,006",Lulu,Lulu,2.7,4.9,20.1,Support,Lulu,1
3696,0 Quantum 0,Ivern,platinum 3,18,"61,005",Rek'Sai,Ivern,3.6,4.2,13.7,Jungle,Ivern,1
3697,davekwing,Neeko,platinum 3,18,"61,033",Cho'Gath,Miss Fortune,5.5,5.6,6.0,Middle,Ornn,0
3698,ÆŒÆŒÆŒÆŒ,Twitch,platinum 3,18,"61,094",Twitch,Twitch,6.5,5.4,6.8,Bottom,Jinx,1
3699,ProjectTofu,Kayle,silver 2,11,"618,317",Corki,Corki,8.3,5.8,7.8,Bottom,Kayle,1
3700,belladam1,Hecarim,silver 2,11,"618,320",Yasuo,Renata Glasc,8.9,9.1,9.7,Top,Hecarim,0
3701,Gonnerreccon14,Tryndamere,silver 2,11,"618,350",Morgana,Morgana,2.9,7.7,7.9,Support,Mordekaiser,0
3702,Cinnamaunster,Bard,silver 2,11,"618,358",Renata Glasc,Renata Glasc,5.2,4.6,11.8,Support,Tahm Kench,1
3703,jasonsensationzX,Illaoi,silver 2,11,"618,311",Tryndamere,Illaoi,10.0,3.0,2.5,Top,Gwen,0
3704,GMTJ,Udyr,silver 2,11,"618,382",Shaco,Udyr,7.4,5.7,8.9,Top,Warwick,1
3705,Friggin,Neeko,silver 2,11,"618,397",Cassiopeia,Neeko,5.7,4.9,7.2,Middle,Cassiopeia,1
3706,MChance,Lillia,silver 2,11,"618,400",Sejuani,Nidalee,5.8,7.3,9.7,Support,Nidalee,0
3707,eAwZmWill,Twitch,silver 2,11,"546,708",Draven,Twitch,10.1,4.6,6.6,Bottom,Ezreal,1
3708,dégenérate,Katarina,silver 2,11,"546,758",Bard,Katarina,10.5,7.3,6.8,Middle,Katarina,1
3709,ComoChingasGuey,Lux,silver 2,11,"546,760",Tristana,Lux,5.3,5.2,11.5,Support,Lux,1
3710,DisneyOnIce7,Kayn,silver 2,11,"546,775",Jarvan IV,Trundle,6.7,7.8,13.6,Support,Trundle,1
3711,bitehandle,Yasuo,silver 2,11,"546,796",Shen,Ezreal,7.5,7.0,5.7,Bottom,Ryze,0
3712,Samcakes,Irelia,silver 2,11,"546,785",Irelia,Irelia,7.6,6.3,5.8,Middle,Irelia,0
3713,pigeonbobe,Annie,silver 2,11,"546,721",Lux,Akali,7.8,11.9,8.5,Top,Annie,1
3714,IronYas,Caitlyn,silver 2,11,"546,765",Lucian,Tryndamere,6.8,5.6,7.6,Bottom,Maokai,1
3715,Homeiscool,Seraphine,silver 2,11,"546,727",Seraphine,Seraphine,8.0,9.3,14.2,Middle,Seraphine,1
3716,STINKYPOOPOO2,Jinx,silver 2,11,"546,706",Ashe,Ashe,5.7,6.0,12.8,Bottom,Miss Fortune,1
3717,DevilsParty,Jhin,gold 2,15,"177,978",Pyke,Karma,7.3,7.5,14.6,Support,Sivir,0
3718,Mooginator,Zoe,gold 2,15,"177,920",Rell,Lillia,8.8,6.2,11.6,Jungle,Elise,1
3719,sherrysugly,Renata Glasc,gold 2,15,"177,934",Karma,Renata Glasc,7.2,5.0,14.1,Bottom,Renata Glasc,1
3720,ThickDaddyFig,Rengar,gold 2,15,"177,943",Rengar,Rengar,8.8,7.3,11.1,Jungle,Rengar,0
3721,Rnd,Viktor,gold 2,15,"177,933",Viktor,Viktor,6.0,6.5,7.3,Middle,Diana,0
3722,Rotheack,Kha'Zix,gold 2,15,"177,942",Darius,Sion,7.7,6.0,11.6,Support,Renata Glasc,1
3723,Clinic,Kayn,gold 2,15,"177,919",Kayn,Kayn,8.1,6.7,8.7,Jungle,Kayn,0
3724,Mong2gksrnr,Malphite,gold 2,15,"177,900",Aatrox,Sett,5.6,5.9,5.5,Top,Sett,0
3725,Goldberg,Bard,gold 2,15,"177,985",Orianna,Orianna,9.1,8.6,17.4,Support,Nami,1
